Accuracy,Precision,Recall,F1-Score
0.92446,0.9218344923234162,0.92446,0.9181809134001883
0.921595,0.917879461994313,0.921595,0.9161425365388325
0.92523,0.9231540548670526,0.92523,0.9186796462757499
0.70565,0.860203338407981,0.70565,0.7336210980578977
0.759035,0.819684810579998,0.759035,0.7558646189346416
0.9142,0.9102377086679588,0.9142,0.9108605691947838
0.924925,0.9240362330909896,0.924925,0.9174397781307375
