Model,Accuracy,Precision,Recall,F1-Score
DecisionTree,0.94999,0.9528045176884823,0.94999,0.9499121666926265
ExtraTrees,0.94722,0.94961600368363,0.94722,0.9471495900413326
RandomForest,0.95011,0.9529454267762162,0.95011,0.9500318000869324
GradientBoosting,0.95035,0.9532874157760829,0.95035,0.9502694333739052
GaussianNB,0.753595,0.8260924131620504,0.753595,0.7390937193333893
LinearDiscriminantAnalysis,0.9102,0.9192195173053417,0.9102,0.9097143756926575
KNN,0.94079,0.9412328311529607,0.94079,0.9407751401510046
XGBoost,0.94965,0.9526626037974679,0.94965,0.9495660868398268
